"","Item","Loading","Coef"
"391","Sauce","PC14",-0.00049569790100192
"392","Salsa","PC14",0.273511348232862
"393","Cilantro","PC14",0.00304515412353868
"394","Onion","PC14",-0.0404881254943815
"395","Taquito","PC14",0.177869723523503
"396","Pineapple","PC14",-0.353053646534771
"397","Ham","PC14",0.242533803815883
"398","Chile_relleno","PC14",-0.0406464440489813
"399","Nopal","PC14",-0.0910604653942674
"400","Lobster","PC14",-0.0744537517338947
"401","Egg","PC14",0.140528881415083
"402","Mushroom","PC14",-0.113435556475276
"403","Bacon","PC14",-0.105469692095417
"404","Avocado","PC14",0.206491657736391
"405","Corn","PC14",-0.0821186723894619
"406","Zucchini","PC14",-0.0353412872450554
"407","Beef","PC15",-0.0164671270094647
"408","Pico","PC15",0.054259696274031
"409","Cheese","PC15",0.0385056043580335
"410","Fries","PC15",-0.099750906900819
"411","Sour_cream","PC15",-0.212966796624362
"412","Pork","PC15",-0.0777030668501051
"413","Chicken","PC15",-0.082825808953632
"414","Shrimp","PC15",-0.106124766752396
"415","Fish","PC15",0.244433607562416
"416","Tomato","PC15",0.31607372583388
"417","Bell_pepper","PC15",-0.237852971792327
"418","Carrots","PC15",0.107282797861579
"419","Cabbage","PC15",-0.0714078801441445
"420","Sauce","PC15",-0.178861732869329
"421","Salsa","PC15",-0.173940296308081
"422","Cilantro","PC15",0.0254384141078546
"423","Onion","PC15",-0.0304514633919879
"424","Taquito","PC15",-0.177140999175408
"425","Pineapple","PC15",-0.137659309318663
"426","Ham","PC15",0.0998483977577837
"427","Chile_relleno","PC15",0.457068478209627
"428","Nopal","PC15",-0.0631153463066068
"429","Lobster","PC15",-0.42657238455682
"430","Egg","PC15",0.112199080251822
"431","Mushroom","PC15",0.136755797220143
"432","Bacon","PC15",0.080644315798955
"433","Avocado","PC15",0.16502776735528
"434","Corn","PC15",-0.300500487159568
"435","Zucchini","PC15",0.0932495307370415
"436","Beef","PC16",0.116914380496046
"437","Pico","PC16",-0.253931763573707
"438","Cheese","PC16",0.290126946357276
"439","Fries","PC16",0.0386743205467359
"440","Sour_cream","PC16",-0.0265892580650714
"441","Pork","PC16",0.0491844026649149
"442","Chicken","PC16",-0.12512118534801
"443","Shrimp","PC16",0.188249513068007
"444","Fish","PC16",0.144955051168132
"445","Tomato","PC16",0.414528624689083
"446","Bell_pepper","PC16",0.282698619033607
"447","Carrots","PC16",0.197021764861633
"448","Cabbage","PC16",-0.225834251554093
"449","Sauce","PC16",-0.0497992322794152
"450","Salsa","PC16",0.103318760603028
"451","Cilantro","PC16",-0.170570838905005
"452","Onion","PC16",0.0227281972543565
"453","Taquito","PC16",-0.10662875313773
"454","Pineapple","PC16",0.12199534002824
"455","Ham","PC16",0.0681545705828647
"456","Chile_relleno","PC16",-0.0327657314754411
"457","Nopal","PC16",0.271586702063308
"458","Lobster","PC16",-0.160681475769804
"459","Egg","PC16",-0.3429053174307
"460","Mushroom","PC16",-0.0631276282239489
"461","Bacon","PC16",-0.202742068296209
"462","Avocado","PC16",-0.235079952394246
"463","Corn","PC16",0.164689110714886
"464","Zucchini","PC16",0.00213247064566784
"465","Beef","PC17",0.280436497252351
"466","Pico","PC17",-0.0856424630056983
"467","Cheese","PC17",-0.0756506806907428
"468","Fries","PC17",0.0687096495709515
"469","Sour_cream","PC17",0.145022444829038
"470","Pork","PC17",-0.248510912975571
"471","Chicken","PC17",-0.191098788525734
"472","Shrimp","PC17",-0.334164167537156
"473","Fish","PC17",0.159149754386037
"474","Tomato","PC17",-0.215463381654876
"475","Bell_pepper","PC17",-0.253806044672303
"476","Carrots","PC17",0.206019797238979
"477","Cabbage","PC17",0.100923162633883
"478","Sauce","PC17",0.0686670269155604
"479","Salsa","PC17",0.311312128672981
"480","Cilantro","PC17",0.0666115619687763
"481","Onion","PC17",0.0430786774149074
"482","Taquito","PC17",-0.270386936461023
"483","Pineapple","PC17",-0.0703036296388092
"484","Ham","PC17",0.175797261491933
"485","Chile_relleno","PC17",-0.179131521093544
"486","Nopal","PC17",0.0189155930190277
"487","Lobster","PC17",0.0337372350707228
"488","Egg","PC17",-0.0131424944308809
"489","Mushroom","PC17",0.0792538189432969
"490","Bacon","PC17",-0.37458582566759
"491","Avocado","PC17",-0.145130394581546
"492","Corn","PC17",-0.158765153129399
"493","Zucchini","PC17",0.200752147312231
"494","Beef","PC18",-0.182282184131194
"495","Pico","PC18",0.171427528750722
"496","Cheese","PC18",0.256932271987815
"497","Fries","PC18",0.172385632703884
"498","Sour_cream","PC18",0.119283076348554
"499","Pork","PC18",0.353573347871706
"500","Chicken","PC18",-0.375534557623551
"501","Shrimp","PC18",0.114566616674022
"502","Fish","PC18",0.0946579570927022
"503","Tomato","PC18",0.0959540547869003
"504","Bell_pepper","PC18",-0.227392468849842
"505","Carrots","PC18",-0.245060650974349
"506","Cabbage","PC18",-0.0518048930521342
"507","Sauce","PC18",0.141252250453463
"508","Salsa","PC18",0.0960703680980006
"509","Cilantro","PC18",0.158215000868682
"510","Onion","PC18",0.0468868086017871
"511","Taquito","PC18",0.00416361357720719
"512","Pineapple","PC18",-0.426756373917725
"513","Ham","PC18",0.104727733167833
"514","Chile_relleno","PC18",-0.143385945028131
"515","Nopal","PC18",0.250224558405558
"516","Lobster","PC18",0.0601869921458905
"517","Egg","PC18",0.0615889828208944
"518","Mushroom","PC18",0.0512726857229199
"519","Bacon","PC18",0.0607405215821762
"520","Avocado","PC18",0.127500799314268
